total_return,sharpe,max_dd,ticker,signals
0.05130955795678016,3.850133687518488,0.0,TEL,1
-0.017354714550333328,-3.1135996487899598,-0.020997426718858625,KEY,4
0.0,0.0,0.0,SONY,0
0.0,0.0,0.0,TOY,0
0.0,0.0,0.0,FRT,0
0.0,0.0,0.0,AJI,0
-0.03176141818456546,-4.188736458978446,-0.04132833791941115,MHI,7
0.0,0.0,0.0,HIT,0
-0.016430550696271307,-1.2230610717035748,-0.05773375644302503,KHI,9
0.0,0.0,0.0,TEP,0
-0.07841187976290764,-9.501675565218747,-0.08160223105395858,OSG,17
0.0,0.0,0.0,ENE,0
0.0,0.0,0.0,TAK,0
0.0,0.0,0.0,EIS,0
0.0,0.0,0.0,OLY,0
