,total_return,sharpe,max_dd
N225-BH,1.3803682014090768e-05,0.09023298886506634,-0.04591356394420876
N225-Mix,0.0,0.0,0.0
SPX-BH,-0.0099237463836227,-1.0375663317390056,-0.03126485724869532
SPX-Mix,0.0,0.0,0.0
AAPL-BH,0.0304978968452998,1.5227953542852752,-0.045723549128456886
AAPL-Mix,0.0,0.0,0.0
BTC-BH,0.29865318337765334,5.153897170210629,-0.06429310562476198
BTC-Mix,0.0,0.0,0.0
