total_return,sharpe,max_dd,hurst,vr_p,signals
2.0850828592822168e-05,0.029760593143784465,-0.010373907947408223,0.45,0.05,3
2.0850828592822168e-05,0.029760593143784465,-0.010373907947408223,0.45,0.01,3
2.0850828592822168e-05,0.029760593143784465,-0.010373907947408223,0.5,0.1,3
2.0850828592822168e-05,0.029760593143784465,-0.010373907947408223,0.5,0.05,3
2.0850828592822168e-05,0.029760593143784465,-0.010373907947408223,0.55,0.05,3
2.0850828592822168e-05,0.029760593143784465,-0.010373907947408223,0.55,0.01,3
2.0850828592822168e-05,0.029760593143784465,-0.010373907947408223,0.6,0.05,3
2.0850828592822168e-05,0.029760593143784465,-0.010373907947408223,0.65,0.1,3
2.0850828592822168e-05,0.029760593143784465,-0.010373907947408223,0.65,0.05,3
2.0850828592822168e-05,0.029760593143784465,-0.010373907947408223,0.65,0.01,3
-0.0205347898749344,-5.019886642755474,-0.0205347898749344,0.45,0.1,3
-0.0205347898749344,-5.019886642755474,-0.0205347898749344,0.5,0.01,3
-0.0205347898749344,-5.019886642755474,-0.0205347898749344,0.55,0.1,3
-0.0205347898749344,-5.019886642755474,-0.0205347898749344,0.6,0.1,3
-0.0205347898749344,-5.019886642755474,-0.0205347898749344,0.6,0.01,3
