total_return,sharpe,max_dd,ticker,signals
0.0,0.0,0.0,TEL,0
-0.017354609088374162,-3.113560595581189,-0.02099752977668612,KEY,4
0.0,0.0,0.0,SONY,0
0.0,0.0,0.0,TOY,0
0.0014974408525627592,0.21380245017933333,-0.059826227160483136,FRT,9
0.0,0.0,0.0,AJI,0
0.0,0.0,0.0,MHI,0
0.0,0.0,0.0,HIT,0
-0.016429981152696116,-1.2230177501991248,-0.05773358494914871,KHI,9
-0.04395604395604391,-4.341633233488644,-0.05934065934065924,TEP,17
-0.0784118797629072,-9.50171860215444,-0.08160242339724344,OSG,17
-0.0696565698627356,-8.137827829982058,-0.0696565698627356,ENE,16
0.0,0.0,0.0,TAK,0
0.0,0.0,0.0,EIS,0
0.0,0.0,0.0,OLY,0
